area_type,size,bathroom,parking,balcony,price,total_sqft,hospital_nearby,school_nearby,mall_nearby,resale,location
Super built-up  Area,2 BHK,2,2,1,3907000,1056,No,No,Yes,0,Electronic City Phase II
Plot  Area,4 BHK,5,1,3,12000000,2600,No,Yes,Yes,1,Chikka Tirupathi
Built-up  Area,3 BHK,2,1,3,6200000,1440,No,Yes,Yes,1,Uttarahalli
Super built-up  Area,3 BHK,3,2,1,9500000,1521,Yes,Yes,No,0,Lingadheeranahalli
Super built-up  Area,2 BHK,2,1,1,5100000,1200,No,No,Yes,1,Kothanur
Super built-up  Area,2 BHK,2,2,1,3800000,1170,Yes,No,No,0,Whitefield
Super built-up  Area,4 BHK,4,2,,20400000,2732,No,Yes,No,1,Old Airport Road
Super built-up  Area,4 BHK,4,1,,60000000,3300,No,No,No,1,Rajaji Nagar
Super built-up  Area,3 BHK,3,2,1,6325000,1310,Yes,Yes,Yes,1,Marathahalli
Plot  Area,3 BHK,3,2,,37000000,1020,Yes,Yes,No,0,Gandhi Bazar
Super built-up  Area,3 BHK,2,1,2,7000000,1800,No,No,Yes,1,Whitefield
Plot  Area,4 BHK,5,2,3,29500000,2785,Yes,No,No,0,Whitefield
Super built-up  Area,2 BHK,2,1,1,3800000,1000,Yes,No,No,0,7th Phase JP Nagar
Built-up  Area,2 BHK,2,1,2,4000000,1100,No,No,Yes,1,Gottigere
Plot  Area,3 BHK,3,2,2,14800000,2250,Yes,No,No,0,Sarjapur
Super built-up  Area,2 BHK,2,1,2,7350000,1175,No,Yes,No,0,Mysore Road
Super built-up  Area,3 BHK,3,2,2,4800000,1180,Yes,No,No,0,Bisuvanahalli
Super built-up  Area,3 BHK,3,1,3,6000000,1540,Yes,Yes,No,1,Raja Rajeshwari Nagar
Super built-up  Area,3 BHK,4,1,2,29000000,2770,No,No,Yes,1,Ramakrishnappa Layout
Super built-up  Area,2 BHK,2,2,2,4800000,1100,No,Yes,Yes,0,Manayata Tech Park
Built-up  Area,1 BHK,1,2,1,1500000,600,Yes,No,Yes,1,Kengeri
Super built-up  Area,3 BHK,3,1,1,12200000,1755,Yes,No,No,0,Binny Pete
Plot  Area,4 BHK,5,2,2,38000000,2800,No,Yes,No,1,Thanisandra
Super built-up  Area,3 BHK,3,1,1,10300000,1767,No,Yes,Yes,0,Bellandur
Super built-up  Area,1 RK,1,1,0,2525000,510,Yes,No,Yes,0, Thanisandra
Super built-up  Area,3 BHK,3,2,2,5600000,1250,Yes,Yes,No,0,Mangammanapalya
Super built-up  Area,2 BHK,1,2,1,2310000,660,No,No,No,1,Electronic City
Built-up  Area,3 BHK,3,2,2,8100000,1610,No,No,No,1,Whitefield
Super built-up  Area,2 BHK,2,1,2,4877000,1151,Yes,No,No,0,Ramagondanahalli
Super built-up  Area,3 BHK,2,1,1,4700000,1025,No,Yes,Yes,0,Electronic City
Super built-up  Area,4 BHK,4,2,0,18600000,2475,No,No,No,1,Yelahanka
Super built-up  Area,3 BHK,2,2,1,3500000,1075,Yes,Yes,No,0,Bisuvanahalli
Super built-up  Area,3 BHK,2,2,2,12300000,1760,Yes,Yes,Yes,0,Hebbal
Super built-up  Area,3 BHK,3,2,3,5739000,1693,Yes,No,Yes,0,Raja Rajeshwari Nagar
Built-up  Area,3 BHK,3,1,,12500000,1925,No,No,No,0,Kasturi Nagar
Super built-up  Area,2 BHK,2,2,1,3600000,700,No,Yes,No,0,Kanakpura Road
Super built-up  Area,2 BHK,2,1,1,4550000,1070,Yes,No,Yes,1,Electronics City Phase 1
Super built-up  Area,3 BHK,3,2,2,12500000,1724,Yes,No,No,0,Kundalahalli
Super built-up  Area,3 BHK,2,2,2,5612000,1290,Yes,Yes,Yes,1,Chikkalasandra
Built-up  Area,2 BHK,2,2,2,4500000,1143,No,No,Yes,0,Uttarahalli
Built-up  Area,2 BHK,2,2,,8100000,1296,Yes,No,Yes,0,Murugeshpalya
Super built-up  Area,3 BHK,3,2,2,3800000,1254,No,No,Yes,1,Sarjapur  Road
Super built-up  Area,1 BHK,1,1,0,3800000,600,No,Yes,No,0,Ganga Nagar
Plot  Area,1 BHK,1,1,0,4800000,660,Yes,No,Yes,0,Yelahanka
Super built-up  Area,2 BHK,2,1,2,9179000,1330.74,Yes,No,Yes,1,Kanakpura Road
Plot  Area,1 BHK,1,2,,20000000,600,No,Yes,No,0,HSR Layout
Super built-up  Area,2 BHK,2,2,0,3300000,970,No,No,No,0,Doddathoguru
Super built-up  Area,2 BHK,2,2,1,9482000,1459,Yes,No,No,1,Whitefield
Plot  Area,2 BHK,1,2,1,13000000,800,No,Yes,No,0,KR Puram
Built-up  Area,2 BHK,2,2,1,3600000,869,Yes,No,No,0,Himagiri Meadows
Super built-up  Area,2 BHK,2,1,1,5000000,1270,No,No,No,1,Adarsh Nagar
Super built-up  Area,3 BHK,3,1,1,9900000,1670,Yes,No,Yes,0,Bhoganhalli
Built-up  Area,3 BHK,3,2,2,9100000,2010,No,No,No,1,Whitefield
Super built-up  Area,2 BHK,2,2,2,7500000,1185,No,No,Yes,0,Lakshminarayana Pura
Super built-up  Area,3 BHK,2,2,3,7500000,1600,No,Yes,No,1,Yelahanka
Super built-up  Area,2 BHK,2,2,2,4400000,1200,Yes,Yes,No,1,Begur Road
Built-up  Area,4 BHK,,1,,19200000,3210,No,Yes,Yes,1,Devanahalli
Super built-up  Area,2 BHK,2,1,2,18500000,1500,Yes,No,No,1,Ramakrishnappa Layout
Plot  Area,6 BHK,4,2,1,15000000,1407,Yes,No,No,1,Murugeshpalya
Super built-up  Area,2 BHK,2,2,2,4500000,840,Yes,Yes,Yes,0,Govindaraja Nagar Ward
Plot  Area,3 BHK,3,2,2,24000000,4395,No,No,No,1,Tharabanahalli
Super built-up  Area,2 BHK,2,1,1,5500000,845,No,No,No,0,Ganga Nagar
Plot  Area,4 BHK,5,2,3,65000000,5700,No,Yes,Yes,0,Whitefield
Built-up  Area,2 BHK,2,1,2,4400000,1160,Yes,Yes,No,0,Varthur
Built-up  Area,3 BHK,3,1,0,14000000,3000,Yes,Yes,No,1,Bommanahalli
Super built-up  Area,2 BHK,2,1,1,6200000,1100,No,Yes,No,1,Doddathoguru
Super built-up  Area,2 BHK,2,1,3,4300000,1140,Yes,Yes,Yes,1,Gunjur
Super built-up  Area,2 BHK,2,1,1,5700000,1220,No,Yes,Yes,1,Marathahalli
Plot  Area,3 BHK,3,2,0,8500000,1350,No,No,Yes,0,Devarachikkanahalli
Super built-up  Area,2 BHK,2,2,1,3668000,1005,Yes,No,Yes,0,Kanakpura Road
Plot  Area,3 BHK,3,2,2,10000000,500,Yes,Yes,No,1,Double Road
Super built-up  Area,2 BHK,2,1,1,8058000,1358,No,Yes,Yes,0,Begur Road
Super built-up  Area,3 BHK,3,2,1,10100000,1569,Yes,Yes,No,0,Hegde Nagar
Super built-up  Area,2 BHK,2,2,1,7000000,1240,Yes,No,Yes,0,Haralur Road
Super built-up  Area,3 BHK,3,1,2,14000000,2089,No,Yes,Yes,0,Hennur Road
Super built-up  Area,2 BHK,2,2,1,4823000,1206,Yes,No,Yes,0,Kothannur
Super built-up  Area,2 BHK,2,1,3,4000000,1150,No,Yes,No,1,Kalena Agrahara
Built-up  Area,3 BHK,3,2,3,20500000,2511,No,Yes,Yes,0,Cholanayakanahalli
Built-up  Area,2 BHK,1,1,0,2200000,460,No,No,No,1,Kaval Byrasandra
Built-up  Area,6 BHK,6,1,3,25000000,4400,No,No,No,1,ISRO Layout
Super built-up  Area,3 BHK,2,2,2,10500000,1660,No,No,No,1,Kodanda Reddy Layout
Built-up  Area,4 BHK,,2,,22450000,3205,No,No,Yes,1,Hennur Road
Super built-up  Area,2 BHK,2,2,2,7800000,1326,Yes,Yes,Yes,1,Yelahanka
Super built-up  Area,3 BHK,2,2,2,6080000,1325,Yes,No,Yes,0,Garudachar Palya
Super built-up  Area,3 BHK,5,1,2,10200000,1499,Yes,Yes,No,0,EPIP Zone
Built-up  Area,3 BHK,3,2,2,21000000,3000,No,Yes,No,0,Hegde Nagar
Super built-up  Area,3 BHK,3,2,2,8800000,1665,No,Yes,Yes,1,Kanakpura Road
Super built-up  Area,2 BHK,2,2,2,3700000,708,No,No,No,0,Dasanapura
Super built-up  Area,2 BHK,2,1,2,5806000,1060,No,Yes,Yes,0,Kasavanhalli
Plot  Area,3 BHK,3,1,3,16000000,710,No,Yes,No,1,Rajaji Nagar
Built-up  Area,2 BHK,2,1,2,7000000,1000,Yes,Yes,No,0,Sanjay nagar
Super built-up  Area,2 BHK,2,2,1,2888000,1000,No,Yes,No,0,Electronic City
Super built-up  Area,3 BHK,2,1,2,7000000,1450,Yes,No,Yes,1, Mysore Highway
Plot  Area,4 BHK,4,2,2,15500000,1200,Yes,Yes,Yes,1,ISRO Layout
Super built-up  Area,2 BHK,2,1,3,8000000,1296,No,Yes,Yes,0,Thanisandra
Super built-up  Area,3 BHK,3,2,2,9000000,1540,Yes,Yes,No,0,Domlur
Plot  Area,4 BHK,4,2,1,24500000,2894,No,Yes,Yes,0,Kengeri
Super built-up  Area,3 BHK,2,1,1,4800000,1330,Yes,Yes,No,0,Sarjapura - Attibele Road
Built-up  Area,2 BHK,2,2,1,6500000,1200,Yes,Yes,Yes,0,Devasthanagalu
Built-up  Area,3 BHK,3,1,1,9000000,1200,No,No,No,1,T Dasarahalli
Super built-up  Area,3 BHK,3,1,3,13800000,2502,Yes,No,Yes,0,Yeshwanthpur
Built-up  Area,2 BHK,1,2,1,1700000,650,No,No,Yes,0,Chandapura
Plot  Area,3 BHK,2,1,1,15000000,2400,No,Yes,Yes,1,Kothanur
Super built-up  Area,2 BHK,2,1,2,4300000,1007,No,No,Yes,1,Green View Layout
Super built-up  Area,2 BHK,2,1,2,5000000,1200,Yes,No,No,1,Shantiniketan Layout
Super built-up  Area,2 BHK,2,1,2,4990000,966,Yes,Yes,Yes,1,Peenya
Built-up  Area,3 BHK,2,1,1,9800000,1630,No,No,Yes,0,Nagarbhavi
Built-up  Area,3 BHK,3,2,2,22900000,1640,No,Yes,No,1,Rajaji Nagar
Built-up  Area,2 BHK,2,1,2,5568000,782,Yes,No,No,0,Jalahalli West
Super built-up  Area,2 BHK,2,2,2,6678000,1260,Yes,Yes,Yes,0,Devanahalli
Super built-up  Area,3 BHK,3,1,3,12000000,1800,Yes,No,No,0,Lakshmiamma Garden
Super built-up  Area,3 BHK,2,2,2,7500000,1413,Yes,No,No,0,Byatarayanapura
Super built-up  Area,2 BHK,2,2,1,5191000,1116,Yes,No,Yes,0,Whitefield
Super built-up  Area,3 BHK,2,2,1,4590000,1530,No,No,No,1,Electronic City
Built-up  Area,4 BHK,4,1,1,22500000,3700,Yes,Yes,Yes,1,Ramamurthy Nagar
Built-up  Area,3 BHK,3,2,2,14000000,2497,No,Yes,No,1,Sarjapur  Road
Super built-up  Area,3 BHK,2,2,3,6400000,1540,No,No,Yes,1,Kengeri
Super built-up  Area,3 BHK,3,1,1,7475000,1436,Yes,No,No,0,Thanisandra
Super built-up  Area,2 BHK,2,2,2,7500000,1100,No,No,Yes,1,Malleshwaram
Plot  Area,1 BHK,1,1,0,2300000,550,Yes,No,No,1,Hennur Road
Super built-up  Area,3 BHK,3,2,2,12000000,1427,No,No,No,0,Thanisandra
Super built-up  Area,3 BHK,3,1,1,20000000,2061,No,No,Yes,0,Akshaya Nagar
Super built-up  Area,4 BHK,4,1,0,47700000,5611.5,No,No,Yes,1,Hebbal
Built-up  Area,4 BHK,4,2,2,15000000,2650,Yes,Yes,No,0,Shampura
Super built-up  Area,3 BHK,2,1,2,6852000,1282,No,Yes,No,0,Devanahalli
Built-up  Area,2 BHK,2,2,1,3400000,1050,No,Yes,No,1,Kadugodi
Built-up  Area,3 BHK,3,2,2,6500000,1600,No,No,Yes,1,LB Shastri Nagar
Super built-up  Area,2 BHK,2,1,1,5400000,945,No,Yes,No,1,Vajarahalli
Super built-up  Area,2 BHK,2,2,1,7800000,1500,Yes,Yes,Yes,0,Hormavu
Plot  Area,1 BHK,1,0,0,11500000,950,No,No,Yes,1,Vishwapriya Layout
Built-up  Area,3 BHK,3,2,3,11000000,1870,Yes,Yes,Yes,0,Peenya
Plot  Area,3 BHK,3,2,1,7500000,1600,Yes,No,No,0,Sarjapur
Super built-up  Area,2 BHK,1,1,1,1650000,880,No,No,Yes,1,Electronic City
Plot  Area,4 BHK,4,2,0,21000000,1200,No,Yes,Yes,1,Ramaswamy Palya - Kammanahalli Main Road
Super built-up  Area,3 BHK,3,1,2,8300000,1535,Yes,No,Yes,1,Kudlu Gate
Built-up  Area,2 BHK,2,1,1,5700000,950,Yes,Yes,No,1,Kanakpura Road
Super built-up  Area,2 BHK,2,1,1,6500000,1360,Yes,Yes,Yes,1,Devanahalli
Super built-up  Area,2 BHK,2,1,0,5400500,1073.5,No,No,No,0,8th Phase JP Nagar
Super built-up  Area,3 BHK,3,2,1,5040000,1280,Yes,Yes,Yes,0,Bommasandra Industrial Area
Super built-up  Area,3 BHK,2,2,2,8505000,1260,Yes,Yes,No,1,Chandra Layout
Built-up  Area,8 BHK,8,2,,25000000,5000,Yes,Yes,No,0,Hennur Road
Super built-up  Area,5 BHK,5,2,1,21300000,3050,Yes,Yes,No,0,Yelahanka
Super built-up  Area,3 BHK,3,1,1,10500000,1563.05,Yes,No,No,1,Kasavanhalli
Super built-up  Area,2 BHK,2,1,1,6000000,1000,Yes,Yes,No,0,ISRO Layout
Super built-up  Area,2 BHK,2,1,1,4376000,1167,No,No,Yes,1,Anandapura
Super built-up  Area,7 BHK,7,1,2,22500000,4000,Yes,No,Yes,0,Vishveshwarya Layout
Super built-up  Area,3 BHK,3,1,,11000000,1828,No,Yes,Yes,0,Kothanur
Super built-up  Area,2 BHK,2,2,1,3500000,890,No,No,Yes,0,Kengeri Satellite Town
Super built-up  Area,3 BHK,3,2,3,4674000,1612,No,Yes,Yes,1,Basavanapura
Plot  Area,6 BHK,5,2,,18500000,1034,Yes,Yes,No,0,Dinnur
Super built-up  Area,3 BHK,4,2,2,9131000,1710,No,Yes,Yes,1,Mysore Road
Super built-up  Area,2 BHK,2,1,1,5800000,957,No,No,Yes,0,Kannamangala
Super built-up  Area,3 BHK,2,1,3,4400000,1250,No,Yes,No,1, Devarachikkanahalli
Super built-up  Area,3 BHK,4,1,,23500000,2795,No,No,No,1,Sanjeevini Nagar
Super built-up  Area,2 BHK,2,1,2,5000000,1125,No,Yes,Yes,0,Hulimavu
Super built-up  Area,2 BHK,2,1,1,3060000,1020,No,No,No,1,Electronic City Phase II
Super built-up  Area,2 BHK,2,2,2,5000000,1200,Yes,Yes,No,1,Kalena Agrahara
Super built-up  Area,3 BHK,3,1,3,13500000,1735,No,Yes,Yes,1,Thanisandra
Super built-up  Area,3 BHK,3,2,1,14500000,2050,Yes,Yes,No,1,Thanisandra
Plot  Area,4 BHK,4,2,0,76000000,3750,Yes,No,Yes,0,Mahalakshmi Layout
Built-up  Area,3 BHK,2,2,3,4800000,1350,No,Yes,Yes,0,Yarandahalli
Super built-up  Area,2 BHK,2,2,1,3200000,1063,Yes,Yes,Yes,0,Hosa Road
Super built-up  Area,3 BHK,3,1,1,15000000,1904,No,Yes,Yes,0,Keshava Nagar
Built-up  Area,4 BHK,4,2,2,42000000,4200,No,No,No,0,Whitefield
Super built-up  Area,3 BHK,3,2,1,17500000,2000,No,No,Yes,1,RMV Extension
Super built-up  Area,2 BHK,2,2,0,4349000,1245.5,No,No,Yes,0,Sarjapur
Super built-up  Area,3 BHK,2,2,2,7500000,1425,Yes,Yes,No,0,Tejaswini Nagar
Super built-up  Area,3 BHK,2,2,1,6450000,1500,Yes,No,Yes,0,Electronic City
Built-up  Area,2 BHK,2,1,1,6000000,1060,Yes,No,No,1,Electronic City
Built-up  Area,3 BHK,2,2,2,7000000,1470,Yes,No,Yes,0,Jai Bheema Nagar
Super built-up  Area,6 BHK,6,1,0,9900000,1300,No,Yes,Yes,0,Kothnur Narayanapura
Super built-up  Area,1 BHK,1,1,1,1100000,450,No,No,Yes,1,Attibele
Super built-up  Area,2 BHK,2,2,1,6450000,1152,Yes,Yes,No,0,Electronic City
Super built-up  Area,3 BHK,2,2,1,5600000,1350,No,No,Yes,0,Electronic City
Super built-up  Area,3 BHK,3,1,3,6500000,1550,No,No,No,1,CV Raman Nagar
Plot  Area,3 BHK,3,2,2,10000000,1500,Yes,Yes,No,1,CHIKKATIRUPATHI
Plot  Area,5 BHK,3,1,2,8500000,600,No,No,Yes,1,Kumaraswami Layout
Plot  Area,1 BHK,1,1,0,1400000,550,No,Yes,Yes,1,Nagavara
Super built-up  Area,1 BHK,1,2,2,6700000,705,Yes,Yes,Yes,1,Malleshwaram
Built-up  Area,2 BHK,1,1,1,3600000,770,Yes,No,No,1,Electronic City
Super built-up  Area,2 BHK,2,1,3,5100000,1242,Yes,Yes,Yes,0,Hulimavu
Super built-up  Area,3 BHK,3,1,2,15500000,1700,No,No,Yes,1,Hebbal Kempapura
Super built-up  Area,3 BHK,3,1,2,14500000,2144,No,Yes,No,0,Thanisandra
Super built-up  Area,3 BHK,3,2,2,11000000,1704,No,No,No,1,Vijayanagar
Super built-up  Area,2 BHK,2,2,1,5200000,1070,No,Yes,Yes,0,Electronic City
Plot  Area,3 BHK,3,2,2,30000000,1846,Yes,No,Yes,1,8th block Koramangala
Super built-up  Area,2 BHK,2,1,2,5570000,1340,No,No,Yes,1,Jakkuru Layout
Built-up  Area,2 BHK,2,2,1,4600000,1025,No,No,No,0,Electronic City
Super built-up  Area,2 BHK,2,2,0,5680000,1277.5,Yes,No,Yes,1,KR Puram
Super built-up  Area,2 BHK,2,2,2,5200000,1200,No,Yes,Yes,1,Marathahalli
Built-up  Area,4 BHK,4,1,1,11000000,2250,Yes,No,No,1,Kanakpura Road
Super built-up  Area,3 BHK,2,1,3,8000000,1550,No,Yes,No,0,Pattandur Agrahara
Plot  Area,4 BHK,5,2,,32500000,1200,No,No,No,0,Bellandur
Plot  Area,7 BHK,7,1,1,25000000,1800,No,Yes,Yes,0,Ejipura
Super built-up  Area,2 BHK,2,1,2,6000000,1200,Yes,No,No,1,Marathahalli
